0,1,2,3,4,5,6,7,8,9
"[133.24675772207738, 0.21942599532316834, 0.5, -19.263303868906966, 368, 126.45799858518117, 130.0593564629863, 230.40470702053787, 0.0, 7107.255298679724, 0.02155408, 0.018985657, 0.028037539, 0.013001222, 2.6313479e-05]","[95.16023176897792, 1.356932497043268, 0.5, -19.749097766922105, 368, 83.67210286638714, 0.0, 223.84553226259095, 0.0, 10522.689188864482, 0.2952846, 0.3485356, 0.56512576, 0.0020852417, 0.05918844]","[276.57667569732644, 13.13405791237443, 0.5, -25.745565355418137, 384, 217.53506334673267, 239.24475131700433, 277.1826309768721, 0.0, 4713.527957915165, 0.47339752, 0.48243883, 0.6111098, 0.23876126, 0.011575606]","[94.62563574991813, 5.61205699576946, 0.5, 8.762530456025743, 272, 216.59031999658112, 234.4321103582665, 266.19869962824436, 0.0, 4983.960810834119, 0.5273743, 0.5386082, 0.6273786, 0.371083, 0.005635823]","[273.237669761324, 5.761270995772213, 0.5, -43.57508989898865, 480, 123.3626449324624, 218.7328932398604, 241.30149553281768, 0.0, 13718.750848263526, 0.2790091, 0.3360589, 0.47385383, 0.043716423, 0.026979744]","[19.5108665707589, 0.8427087027348623, 0.5, -2.4247038990749274, 176, 171.96663309843487, 201.74088950502764, 205.2672581380976, 0.0, 4945.338149024122, 0.41268963, 0.4256485, 0.44830215, 0.32386416, 0.0013443783]","[236.0233181480744, 10.02090002528821, 0.5, -36.841811586541866, 464, 127.61548971196194, 179.73069985652094, 199.42369775418427, 0.0, 7642.015690626057, 0.2748075, 0.3122365, 0.4705824, 0.0034440642, 0.026936077]","[556.5971977870597, 26.909012707596766, 0.4545454545454546, -43.78416838687461, 544, 185.7549565165583, 233.08576913416516, 258.62053938239393, 0.0, 8484.693041271676, 0.40793407, 0.43679634, 0.57832694, 0.03518038, 0.020201065]","[3858.4998279331344, 116.06342094834157, 0.4827586206896552, 86.13548562913346, 1472, 140.65621484525101, 168.18039523589493, 278.7883336231536, 0.0, 10141.222656842945, 0.22278352, 0.19562638, 0.60269314, 0.0034275553, 0.026085261]","[25.29560132852763, 0.02323814313736352, 0.5, -6.292000615651805, 288, 43.16704578995398, 0.0, 178.6955271983718, 0.0, 5595.362797427352, 0.06667695, 0.02873588, 0.15088147, 0.0020899363, 0.0046286304]"
"[4225.52842634121, 83.48035006310441, 0.5, -101.72515906168996, 1520, 178.92422534169353, 212.63362906904877, 309.33502415691686, 0.0, 12490.447055533854, 0.14934139, 0.13234697, 0.27095458, 0.00608636, 0.006970728]","[398.58953812202617, 4.659500824412194, 0.4545454545454546, -50.831010530787566, 544, 125.32142876123685, 182.34570357266995, 187.14677540918822, 0.0, 7332.887470988356, 0.12253847, 0.14054497, 0.17615348, 0.019887853, 0.0026320484]","[351.68709382429455, 5.040115819874181, 0.4444444444444444, -30.050783903737937, 448, 202.24327620130245, 210.07917057671926, 323.9647527821155, 0.0, 10483.252795337623, 0.0936366, 0.10352091, 0.15944867, 0.00554892, 0.0028677562]","[1277.741490816192, 13.11856491342768, 0.4761904761904763, -55.49593440571175, 1024, 100.15664112457172, 148.5384940785009, 222.5562768664229, 0.0, 8904.66144848986, 0.06887139, 0.05839644, 0.14381914, 0.0049513187, 0.0017297766]","[149.13800488694275, 0.9577549501526206, 0.5, -13.269356114595269, 384, 121.99745856345845, 128.2209199872421, 153.77669275969214, 0.0, 1341.1983314135914, 0.053481407, 0.056507178, 0.06735635, 0.025384152, 0.00014079077]","[60.357357459832066, 0.3488759068132523, 0.4615384615384615, 11.586161023209419, 640, 12.68195250466761, 0.0, 68.10519982075922, 0.0, 675.7181709516624, 0.04246888, 0.037975356, 0.07702041, 0.0054601333, 0.0005302093]",,,,
"[41.762256184594236, 0.17738312513065127, 0.5, -4.81095956212463, 288, 73.79798180250044, 119.27291432270053, 145.14587018501837, 0.0, 3930.36532941989, 0.03783743, 0.04089286, 0.04717871, 0.015115461, 9.184155e-05]","[587.15557249207, 17.718349587099926, 0.5, -44.599598626595224, 671, 111.78081651136439, 150.26442824298348, 174.61411571650194, 0.0, 5343.685348809637, 0.18183073, 0.17663048, 0.33559266, 0.026441371, 0.010936273]","[782.5187289099824, 18.59729024978574, 0.47058823529411764, -60.81151836729665, 864, 82.1642121724489, 121.00020910221048, 162.92073075152206, 0.0, 4829.977856951413, 0.14834172, 0.13823009, 0.3448894, 0.005344849, 0.014869966]","[1522.3486598224274, 11.483970223616248, 0.5, 58.78230809137198, 1327, 78.68329939264206, 136.21267196370565, 152.01041679645533, 0.0, 4921.851407542862, 0.083722666, 0.07121802, 0.25117588, 0.0037481512, 0.005428863]","[2233.2121413146333, 25.261658178347346, 0.48387096774193544, -59.10246652139389, 1551, 83.44548356914883, 117.89508087899223, 163.86452094349724, 0.0, 3797.8338850318232, 0.09582616, 0.091622695, 0.17481537, 0.0012539494, 0.0021658503]","[973.5060824768119, 13.877560028587324, 0.47368421052631576, -35.59360503731065, 928, 108.81526615865464, 128.565497341737, 143.47872767421205, 0.0, 2304.757543369057, 0.07851029, 0.07785279, 0.16765589, 0.000826969, 0.0038927337]","[263.1093437780555, 1.1234054135090519, 0.4545454545454546, -22.745608097972827, 544, 85.06527422406499, 123.11525550167778, 130.0593564629863, 0.0, 3385.187767155161, 0.040417127, 0.044781234, 0.057066455, 0.0100713745, 0.00021821221]","[321.77191980245453, 5.667094624941434, 0.4545454545454546, 25.58649463911688, 544, 107.34780985474676, 131.95166368007364, 168.66611791365605, 0.0, 3621.5065360666963, 0.10863704, 0.10673858, 0.20659463, 0.0063069947, 0.0051193247]","[667.4691825612749, 9.230685117261292, 0.5, 39.6020475238042, 816, 103.27254848103713, 127.08879665595003, 167.6946725581338, 0.0, 3193.7126039551868, 0.09161827, 0.10525757, 0.16744816, 0.0015850667, 0.0035200394]","[76.41281277331997, 0.6060200411608412, 0.42857142857142855, 12.118914366460885, 351, 83.60242679988919, 117.21605517913326, 118.57804013471404, 0.0, 2800.622484205225, 0.08724832, 0.09703412, 0.11806174, 0.025580853, 0.0007378642]"
"[157.9292227572159, 1.4177240196885739, 0.4444444444444444, -14.864411751669508, 416, 105.0164297452237, 145.9866916572425, 186.06888929891866, 0.0, 6169.169406649158, 0.056294363, 0.06689751, 0.09369752, 0.009039388, 0.0011636277]","[2.6173634421431435, 0.009516106754676972, 0.5, 0.5642237812506323, 96, 137.43745310428062, 181.30151850396715, 187.14677540918822, 0.0, 6303.2794122567, 0.036357604, 0.036357604, 0.036357608, 0.036357604, 1.7347235e-18]","[4696.964200829336, 31.210465561518134, 0.48717948717948717, -40.31464972251109, 1968, 110.17495682778616, 140.20166900511882, 186.06888929891866, 0.0, 4467.7280015135075, 0.049448337, 0.04835776, 0.11937245, 0.007866767, 0.0009042458]","[1436.8672001637462, 16.057982626292056, 0.47368421052631576, -41.2984670162312, 944, 162.76339471207177, 163.86452094349724, 234.4321103582665, 0.0, 1093.324510925307, 0.099307016, 0.1075039, 0.12528221, 0.054597136, 0.00037549165]","[441.60146180632637, 3.705591893358714, 0.5, 36.55464469047486, 672, 102.99313918103763, 132.33275396903284, 142.65235101161107, 0.0, 3118.790276380282, 0.058620337, 0.059219573, 0.1017308, 0.0069054696, 0.0008326806]",,,,,
"[9.310998842174678, 0.0976153596947248, 0.3333333333333333, 1.5989197095845427, 128, 132.5460393477783, 159.2102395609486, 161.98237639105778, 0.0, 3524.01506359556, 0.10429993, 0.10486347, 0.10486347, 0.10145267, 1.0875459e-06]","[679.9071298249149, 7.637950022101097, 0.5, -68.66369801016683, 672, 127.98767123607375, 173.60841241450115, 198.27510177438265, 0.0, 6982.676745407544, 0.083472855, 0.087169014, 0.14415444, 0.0036518062, 0.0017148051]","[611.584714696486, 6.461498561616562, 0.4666666666666667, -34.636957342478595, 736, 105.53493985832893, 161.0494265540188, 202.9095625889066, 0.0, 6923.090931882558, 0.07172336, 0.07147986, 0.13332696, 0.015361913, 0.0013192599]","[151.99523266461478, 1.310163299468304, 0.5, -23.570082572364683, 384, 113.79643678367731, 156.46466200170096, 195.99771799087463, 0.0, 6037.38208040746, 0.10532748, 0.12615456, 0.17689128, 0.0043065217, 0.0038659228]","[574.3615492025881, 4.996841091633763, 0.5, -43.109486847415496, 671, 126.7536066577828, 144.30989148811935, 197.13312122062953, 0.0, 5062.375540258525, 0.06878145, 0.069458574, 0.13217261, 0.011427274, 0.0017525615]","[342.99252279767717, 3.0338160276306536, 0.5, -33.79453737360032, 496, 139.49959649584576, 170.33895179471477, 237.15608026942812, 0.0, 9297.011093146972, 0.07772335, 0.087555535, 0.106802896, 0.006019772, 0.000769912]","[969.9464445934218, 12.02330180305029, 0.47058823529411764, -35.90673420818621, 863, 127.85038814702712, 141.42229146981694, 171.61434972294217, 0.0, 1708.1281310717834, 0.09855468, 0.11368793, 0.14584647, 0.0379703, 0.001316829]","[0.0, 0.0, 0.5, nan, 768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013693504, 0.012624759, 0.028085917, 0.0017042671, 7.033638e-05]",,
"[0.0, 0.0, 0.5, nan, 304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.061508, 0.080824465, 0.10571701, 0.0020022956, 0.0019853914]","[47.018197277498004, 0.5655927891773904, 0.5, 4.7648191324386815, 272, 106.70619383697804, 115.86971395503193, 129.31026969119696, 0.0, 1215.0584373113504, 0.11292576, 0.12873045, 0.13760264, 0.040461466, 0.0009247914]","[107.3778207063922, 1.538369334452534, 0.4545454545454546, 26.450663193141306, 512, 55.766703570111346, 0.0, 141.8307339283537, 0.0, 4206.033240083225, 0.10209127, 0.07441738, 0.16894487, 0.03781629, 0.0021257342]","[0.0, 0.0, 0.4, nan, 240, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12939835, 0.14397354, 0.14897099, 0.048894167, 0.0007651817]","[230.73271150652707, 4.184773135793465, 0.4666666666666667, -26.3279131330907, 736, 44.07153056296475, 0.0, 136.21039964151845, 0.0, 3730.1970246499086, 0.08003931, 0.023354895, 0.22661723, 0.0038263474, 0.0078622345]","[469.82568649617446, 10.586942998047533, 0.5, 40.18328872002546, 576, 133.94942859913968, 168.66611791365605, 233.08188075904494, 0.0, 8475.017173983057, 0.117731325, 0.08596753, 0.24740683, 0.002758143, 0.008315041]","[30.74668120747522, 0.28132894170802125, 0.5, -5.532458159492272, 256, 67.45724182812222, 105.64102395561046, 107.48759652776704, 0.0, 2602.1222056970673, 0.09622457, 0.10850241, 0.12776046, 0.022865381, 0.0011459598]","[1974.6513409243187, 11.728832796604339, 0.4827586206896552, -53.17411632482494, 1472, 76.64878651208971, 102.93090435143726, 204.08500572708806, 0.0, 4679.800509544342, 0.10156258, 0.09210025, 0.28270236, 0.0031151988, 0.0056676515]","[93.9932170698208, 0.8052996764135146, 0.4444444444444444, -16.367037644978844, 415, 57.818344192186636, 97.43442710125966, 120.65074776640884, 0.0, 3002.2353831349105, 0.08786883, 0.10159163, 0.15025693, 0.0029162257, 0.0030923325]","[254.6563000687516, 7.87282666620798, 0.4615384615384615, 23.40966972918455, 640, 53.83206914127014, 0.0, 138.591315488436, 0.0, 4027.110352305223, 0.20775053, 0.18071562, 0.40707266, 0.0039358796, 0.018548716]"
"[235.8560088648308, 3.3555894714625913, 0.4444444444444444, -33.83338840267088, 432, 151.36870051312326, 191.5211239251473, 210.06515286029162, 0.0, 7109.598008792641, 0.109499305, 0.103127934, 0.1493521, 0.05992718, 0.0008439972]","[63.440455127332974, 0.46614580908358594, 0.5, -12.173160842905702, 304, 107.0457176320894, 160.18863515873767, 204.08500572708806, 0.0, 8347.377695034722, 0.068839185, 0.08051556, 0.09166, 0.018053576, 0.0006361856]","[8.17369832526995, 0.05587187289978602, 0.3333333333333333, 1.0144033962484258, 144, 116.37945742430175, 137.40085756497723, 146.8323839587038, 0.0, 2732.1347617342963, 0.06672377, 0.06834607, 0.0691948, 0.057897646, 1.1336725e-05]","[1410.3076308658024, 14.767619827082868, 0.4761904761904763, 54.62876773783198, 1024, 121.54748692525959, 129.31026969119696, 312.9293240034019, 0.0, 7909.877095995848, 0.10927989, 0.089469, 0.24985181, 0.015897295, 0.0053656064]","[54.78608359972801, 0.42841147435254234, 0.42857142857142855, 10.60747768083267, 351, 58.72422663365894, 0.0, 141.8307339283537, 0.0, 4600.862574053688, 0.092279315, 0.10748951, 0.13899201, 0.019637538, 0.0016713815]","[501.80162071583914, 5.157033998574525, 0.5, -31.81056781068945, 592, 144.9407917585232, 151.57265900842256, 161.98237639105778, 0.0, 966.5232802278069, 0.10474146, 0.10661759, 0.13885869, 0.04452611, 0.00053244666]","[146.85701202560557, 2.7706399555655485, 0.4444444444444444, 12.659724377570619, 416, 99.93836719556191, 126.35681904967385, 140.20166900511882, 0.0, 3106.250705078023, 0.13583627, 0.1420805, 0.20302835, 0.042019308, 0.0027576392]","[1565.3420237987718, 17.307222021017505, 0.47368421052631576, -64.6028066154738, 928, 153.726181542024, 138.591315488436, 272.42079928303684, 0.0, 8398.668572099341, 0.12070171, 0.069225684, 0.29821137, 0.016772378, 0.008487519]",,
"[121.7778077067751, 0.12113002418976307, 0.5, 26.305047884707832, 384, 89.99069228379312, 0.0, 291.973383314485, 0.0, 17819.28352475894, 0.026446845, 0.024451226, 0.053005688, 0.0012203933, 0.00047547807]","[1628.34379447563, 14.38012779236804, 0.4666666666666667, 76.8167155473893, 720, 299.36446910592656, 293.6647679174075, 361.5437384177477, 0.0, 4071.6597718883386, 0.08201139, 0.08467399, 0.11503183, 0.039525058, 0.00052076805]","[880.9101706933164, 6.910657991612402, 0.4761904761904763, -135.07484970041878, 1056, 126.79329539667708, 0.0, 325.8414615030441, 0.0, 21553.118086476257, 0.03208116, 0.009349155, 0.09726089, 0.0034440013, 0.0010712392]","[1028.827830811746, 8.79863167210612, 0.4666666666666667, -61.69657800570998, 720, 175.5679359651209, 237.15608026942812, 320.24370022528115, 0.0, 14474.591126383559, 0.061129365, 0.06825952, 0.0999482, 0.005216053, 0.00087872223]","[1387.6225561377728, 12.665752003131892, 0.4666666666666667, 66.61333140000914, 720, 267.00020806080516, 290.29174037003673, 295.3659506116579, 0.0, 5347.69202327435, 0.08543741, 0.09769406, 0.14324628, 0.014607401, 0.0014415337]","[1311.9789621304676, 17.452783851046043, 0.4666666666666667, 61.87544582791807, 720, 245.453819378328, 255.6500291307247, 267.74077300753, 0.0, 2246.6536381497713, 0.10771532, 0.118703544, 0.1710552, 0.017876234, 0.0025663893]","[201.69073158618085, 1.12083419494934, 0.42857142857142855, 18.289928495507468, 336, 234.03850601439407, 247.65690984270546, 272.42079928303684, 0.0, 4320.824683610482, 0.046653986, 0.0502737, 0.05851445, 0.025709776, 0.00010414477]","[70.21871480459139, 0.23406402389521286, 0.4, -7.626941927085596, 240, 210.73140326870634, 235.85310127667776, 249.810974395593, 0.0, 5126.764276870364, 0.03444988, 0.03914804, 0.043144535, 0.012828013, 9.383886e-05]","[1894.8867486066733, 4.693264481125214, 0.5, -52.63637598092191, 912, 215.19427383056623, 230.40470702053787, 291.973383314485, 0.0, 6266.565915341334, 0.037565187, 0.034834016, 0.06536742, 0.0034963621, 0.0003472953]","[971.6661806988939, 4.682185868726664, 0.4615384615384615, 64.5476004409388, 640, 217.71478254095615, 257.13099468347406, 277.1826309768721, 0.0, 8691.271748340656, 0.035745233, 0.03708387, 0.058715995, 0.0063553103, 0.0003005124]"
"[3718.5499614665086, 27.383598226121677, 0.5, -90.21937173130439, 1311, 165.53190756388312, 233.8037925119847, 359.46139971304194, 0.0, 14790.792798440922, 0.08017296, 0.07190979, 0.13981022, 0.0068142465, 0.0014706273]","[61.83688159873193, 0.2987166242391966, 0.5, -11.763865279453121, 288, 104.47427787054913, 163.4253362143922, 191.5211239251473, 0.0, 7879.240567940565, 0.052988674, 0.062658675, 0.075893834, 0.00915555, 0.00052546227]","[952.1154627484108, 9.99092486284586, 0.5, 68.86294017274459, 816, 151.28066244536575, 195.43328609669697, 254.17759331190004, 0.0, 9281.12439951635, 0.060594533, 0.06249044, 0.12141888, 0.0039576646, 0.0018922616]","[113.75747187082852, 1.1143773637696905, 0.5, 18.709714776662594, 384, 83.68122659403556, 80.99118819552889, 171.61434972294217, 0.0, 7007.661913966341, 0.08328745, 0.09988714, 0.13539347, 0.0022220605, 0.0025604751]","[67.27896480800011, 0.9533906230352096, 0.5, -7.53662928562197, 256, 153.60697573632925, 188.23090565017247, 200.5789474828077, 0.0, 5347.685654632391, 0.122371994, 0.13839787, 0.14539656, 0.045030918, 0.0008539476]","[929.7427787422866, 14.529833360594477, 0.5, -68.84763737810988, 768, 131.8377729165321, 191.5211239251473, 257.13099468347406, 0.0, 12932.470974271317, 0.09822218, 0.09728811, 0.1889756, 0.010494986, 0.0030383249]","[1173.1247755098975, 10.480881230571686, 0.48, 61.06925251662166, 1231, 84.65730906111432, 117.21605517913326, 189.3213161937526, 0.0, 6598.349769522851, 0.045321636, 0.025082162, 0.11237971, 0.002478128, 0.001602998]",,,
"[278.9967341386726, 4.82003963520501, 0.5, -26.180951239344452, 671, 48.781906268154806, 0.0, 160.1218501126406, 0.0, 4213.17693610779, 0.10538115, 0.0972293, 0.22712757, 0.006041096, 0.0061954637]","[42.92936085793339, 0.32717926744130954, 0.5, 7.710230092319335, 304, 72.53914458184254, 119.62237565850216, 130.8127826502993, 0.0, 3767.830773499841, 0.061825752, 0.07384271, 0.08135648, 0.008560589, 0.0005887729]","[41.26178801395882, 0.5310129570573414, 0.5, -7.4382132744824645, 272, 91.44263601884501, 121.3496704380121, 136.21039964151845, 0.0, 3171.2493413302886, 0.11325364, 0.11595091, 0.13938932, 0.07187337, 0.0003874164]","[686.671591242549, 7.7842011419629475, 0.5, -40.96549879211044, 672, 144.4604201132264, 153.77669275969214, 187.14677540918822, 0.0, 1558.4307383657692, 0.105636016, 0.11374031, 0.14093128, 0.03341647, 0.00075294357]","[162.77792763460167, 0.6848994493098742, 0.5, -24.12510857536023, 480, 74.81650235553468, 110.63722351746387, 138.591315488436, 0.0, 3327.0629355520555, 0.044827394, 0.048012152, 0.06426851, 0.019498643, 0.00025045368]","[409.0094554838636, 3.614557660992021, 0.5, -31.151936340554556, 688, 93.80118042239984, 113.87914162255151, 153.77669275969214, 0.0, 2670.121406916072, 0.05473711, 0.057977565, 0.09761336, 0.0020523053, 0.0010726189]","[87.1526075546961, 0.6403012218021443, 0.4444444444444444, 8.681578523771833, 415, 55.2334699451105, 0.0, 122.75968568932456, 0.0, 3439.693982351753, 0.054079838, 0.062310364, 0.08979128, 0.0017161248, 0.0010196071]","[24.13983427524737, 0.2552889825232866, 0.4, -5.001068835619954, 208, 97.10995072650103, 141.8307339283537, 154.66751207845843, 0.0, 4734.715971856423, 0.10012082, 0.106057584, 0.111878805, 0.07058915, 0.0001615983]","[73.47254795437556, 0.8370640528564564, 0.5, -6.9408903363306536, 304, 130.93259438080034, 146.0256599163082, 152.01041679645533, 0.0, 1643.6394553563332, 0.0839928, 0.10051231, 0.11750163, 0.023737026, 0.001141744]","[524.3611271077197, 6.398987372676194, 0.4615384615384615, 34.07490529729516, 656, 125.00320942036366, 126.03497769026076, 170.6259238017108, 0.0, 1254.056858843866, 0.10227405, 0.11042631, 0.13293712, 0.043027256, 0.000671482]"
